countries,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,-2507.730199284619,-2614.3689320388357,-2607.7911271385437,-4168.084265507999,-1370.2593310630834,-1254.8530629730117,-1424.6572820003387,-1691.2165125651966,-1641.3103217691737,-1506.2610800181508,-1491.2536443148695,-1381.2554188299746,-1132.7304418577733,-909.7941529149775,-758.0947196516059,-2345.770917062477,-2303.1296273713924,-3160.8827982809007,-3003.85657839316,-6404.364489898563,-9223.196840611588,-10335.303090547623,-10507.861664630946,-7982.663866768275,-5958.433689999148,-8200.362353589633,-7604.816421128278,-8725.419074294176,-10207.68941639084,-21077.785667820004,-18896.35657042812,-15293.716994797489,-23665.816155291177,-33929.594770166615,-111612.25054653753
Albania,-1885.957183708169,-3387.6198581560293,-3519.6284087503736,-3274.7018774499684,-4113.103625647099,-5432.393173679674,-3927.465791639989,-3735.7833678886873,-3868.630009764374,-4931.698967043778,-1685.1713109935338,-1328.1916385684854,-1016.6347499740219,-1361.9977118718655,-1211.5126066514094,-963.7192486005704,-748.8339682726895,-719.18044507274,-683.0967673779846,-609.4360663953064,-776.5438819683717,-736.9285438641627,-812.4868427672956,-827.4649297938415,-596.9351124629286,-676.8282598114474,-544.1356767973142,-703.8433971526755,-660.2264150943397,-325.21902876963907,-234.02583810390536,-308.1683906389551,-282.1839080459771,-139.12087912087912,-332.9708737864078
Arab World,88149.4599486958,70759.99021189647,57344.30280348336,49831.59232975068,51353.55189228381,47529.22207803012,50855.39794566662,53052.591108705594,52476.267125548824,53557.39322966594,48308.60397611034,46698.25645397751,44268.738047430365,47701.83559403577,49364.35330413366,45400.41314902271,46641.0987684323,45940.522499512845,45075.35709914467,45389.5780462245,47148.27067258737,48561.31339936973,39946.12683932135,46143.930885576774,50475.76928633874,60886.867619693956,58268.26338097998,54909.848590483096,48451.139766056585,50711.47499217409,60327.00474144098,55544.64082741595,61984.531014560176,62256.97846280441,59342.64654080623
United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,112216.88802795754,98887.49154679847,236015.55436059795,195733.62974298475,238379.0449267779,307397.72330925986,224885.03897465218,203712.8101901189,65095.40928971109,48443.612460163306,92329.27924092807,65417.23521058585,97278.2504921103,129064.32486658024,193451.98655578805,149931.1157047716,78427.384314479,136196.77512389925,101899.87958355804,53190.960288265596,84242.18482612069,186500.0962309054,211024.94786340205,115391.31873607961,77999.7282128481,93495.62286300653,136296.0708770258,77071.73900205948,65220.33847859721,81402.35518250303,77982.10960214538,111911.44278414725,88574.65797640092,101479.73230943755,107525.90924271029
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,40254.79577311926,44146.13032575561,42761.67502360257,35010.72918447817,33907.12536060007,37645.777072314835,37812.23007762493,35603.570577334845,36591.46208214015,37260.12816431579,32575.47608334015,36876.032018632395,35704.48431748107,39095.65188365802,37382.62220537241,35182.98541899828,35665.59340779963,37902.24172045952,34903.54791208541,36365.7679203312,35812.410406130424,33733.02914742066,34739.94868220431,35180.62459680881,34309.881520267874,33673.9378942569,36215.856500116206,31212.666266691598,26016.058854000374,26214.1075475841,29432.682410946534,36670.82693978966,29727.775066559883,37665.31360220543,36655.88646395202
Austria,-40960.07458356022,-44488.751574094895,-39498.0096219878,-39412.163710069486,-49213.704793318226,-46480.297426452365,-46095.56049624014,-47933.35379154191,-40691.99518645547,-47391.63253398086,-93671.8474006692,-104618.31254727671,-62920.10933380241,-60124.497944739356,-71855.97816636109,-81177.47595502164,-97621.8315049823,-95135.5267716075,-84817.92786924996,-76173.35938942569,-69372.15220835386,-86916.66238669207,-88914.90912901524,-191159.63403839496,-154171.45220917332,-200703.77848375638,-183706.12215061058,-153723.2012802616,-148820.76170046942,-105473.32622796086,-208087.4432374358,-261267.14487711494,-101018.03027340253,-90229.66792690991,-76850.14309493269
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,484.12372629288694,664.0616544009711,531.9934771030272,430.5030476107687,429.80497395518154,288.55893300259726,311.59183406864923,378.5140223443797,311.7571707279454,281.00287913794773,240.9870524662709,208.32568268524685,310.1276680894571,229.18549132853965,328.86157901901413,309.76009271135433,213.98985392627608,251.80813328862797,322.2151912535297,249.84568336434862,354.2719161026408,331.8282945828484,263.95128025402556,182.62560650113915,226.74418095485208,205.5090144382847,260.3377616756085,272.8887930636947,276.4523134031702,192.21451350069503,204.0912583798301,123.15163935345011,232.1391010243285,229.96129736319497,186.47348257489006
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8150470219435735,2.673278236914601,3.428446005267778,3.3760563380281687,4.061159798620176,4.884376573250545,3.2603878116343505,1.5677449601500235,1.3611940298507463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,1995.4444424528135,1840.688525355664,1307.3479651162788,1576.0603442109546,2499.9728685186624,1938.6337883755589,1074.2681473456123,1060.3632769602464,1523.085846089228,1878.9731949633822,1794.2951168775637,1733.6553173780248,1713.9016684421015,1225.9595046249767,1798.7531198295344,687.9235805964186,1432.2457995795799,1323.3471618900526,1535.875485645613,1471.3197546755507,1258.5371703547771,1805.6249168245515,1276.7006156859102,1223.5700265442006,1117.6648710945412,1095.7801926948189,1124.67148026034,1092.127730712511,1408.033066707885,599.343362061581,1080.8192606396428,1237.3130735961267,1099.4397586107655,1265.3870139484138,831.3137203075567
Bulgaria,9589.750457743672,9026.589828507393,7553.948534188135,7804.478284257053,6884.176001548623,5144.737073034273,5834.609917797312,6251.735424841936,5889.101494486429,6187.791890341749,4718.53113384787,5302.303974798456,4930.905941704927,5386.255824100381,3026.1028838514076,4855.567723906583,6019.025261802124,4458.868392547938,5093.120266960671,4642.935738472698,4145.440068031642,2637.2916998918677,3259.933207388765,5008.369873144512,5319.442239531289,7315.507573160503,6867.88221185317,5152.533821967731,4888.142205582148,5769.397590361446,8704.544863248895,4718.3324313696785,5013.405550986416,6378.699326943497,7151.620505356263
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bahamas, The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
