Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,20.30075187969925,21.42857142857143,24.09090909090909,26.29310344827586,12.10762331838565,11.347517730496454,12.996389891696749,12.280701754385964,13.395638629283491,12.727272727272728,12.244897959183675,10.723192019950128,9.511568123393316,7.345971563981044,9.090909090909092,9.974424552429667,9.785202863961812,14.780600461893764,15.549597855227884,17.72151898734177,20.086393088552914,20.675944333996025,18.90909090909091,17.280453257790366,11.486486486486488,15.934959349593495,12.969696969696967,12.344398340248961,13.378492802709566,17.80821917808219,17.184401850627896,14.863184079601993,12.586098935504067,14.38053097345133,19.17098445595855
Albania,13.509544787077827,17.77777777777778,19.148936170212764,17.567567567567565,16.897506925207757,18.011527377521613,18.103448275862068,17.265193370165747,17.01534170153417,18.128654970760234,12.874779541446207,14.173228346456693,19.158878504672895,27.272727272727277,30.049261083743843,21.62162162162162,17.741935483870968,22.37762237762238,18.75,9.931506849315069,12.337662337662337,10.869565217391305,10.133333333333333,9.424083769633508,6.982543640897757,7.853403141361258,6.860158311345646,8.73015873015873,7.547169811320756,3.7135278514588865,2.544529262086514,2.898550724637681,2.873563218390805,1.3736263736263736,2.9126213592233006
Arab World,36.445385630543534,36.00122747307928,37.08155812538039,38.288815081629785,40.89487945529078,41.571034605462145,43.737252675623964,43.516557471150605,44.15282885694119,43.329508341424656,42.76347698000683,41.118634300943604,42.97060509293375,45.33112884142827,46.30903255387437,46.65723133836863,45.97581851756999,48.1754345573846,47.08237694465698,46.30145621887411,46.845547338182264,47.21415670225657,47.73980275440948,48.92416828700242,49.57369431255682,48.80018805829806,48.87642462905885,46.89808166880196,47.82504970178926,48.40128048918925,48.00452670181068,48.27746838259321,48.53374830817113,48.850533738633345,50.159275297396846
United Arab Emirates,27.263267429760667,25.675096442348906,28.79499217527387,33.21182665046577,28.136762860727732,27.512633352049416,25.987006496751626,24.920850293984625,26.292629262926287,24.090821627862226,26.315789473684216,23.516483516483515,26.366047745358088,28.796777982883032,28.76315388134818,29.00631820792648,29.555769495255124,30.38486627527723,32.59788292309654,34.89641483686887,38.83251910309408,36.95417207090358,40.04654114660461,42.391414397084134,47.566434898561766,47.997479974799745,49.46965745087811,45.90414820781313,46.55925723648281,40.34013605442176,40.05271828665568,38.682920698755815,39.88816951147734,39.107626678964664,41.520834520891526
Argentina,32.08994431018178,31.244014047036288,30.482266435986162,31.133868243243246,29.301277235161532,29.401709401709397,35.873509590461374,33.906852566004154,39.53270151074412,39.220555927022644,34.51398671764942,36.47384497899962,35.385192831003096,31.736861721953037,28.25935596170583,29.14997015943388,30.25156224963948,28.654434250764528,29.144503546099287,31.873653984206747,32.299741602067186,30.267039279614966,30.096209193322913,30.830976225059242,31.938852112195455,31.787459010908115,31.699325814378426,33.81651265325844,34.452306821398246,36.18759992893942,35.88533271931844,36.89148912683519,38.49884153241015,37.40251120084076,38.03856348422639
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,48.85846957531198,50.41230650528041,51.86953062848051,52.10625433640599,51.77833317312314,52.7367703838292,52.356446370530875,53.334195997239476,53.751609018809944,54.83071841453344,55.00327262926885,55.667062473666064,55.73956014938324,55.457249070631974,55.252054993816834,55.41265113019098,56.09789075175772,56.1390776538893,58.80481778875849,59.05856595511768,58.852703913952794,59.91848224496379,62.69734391564712,60.86549906478489,61.3200600027274,62.10206496020649,62.514906585398165,62.684217318363665,62.05923836389281,63.31750921670623,62.92293474354366,61.551368094992256,60.903149138443254,59.37826268532053,58.35785756327252
Austria,21.604711078395283,24.98545101842871,23.20675105485232,23.830734966592427,25.117739403453694,24.905015197568385,25.004842146039124,25.773195876288657,24.995032783628055,26.578007145692734,35.3589196872779,34.30934656741108,31.48048210109732,31.612903225806456,34.044823906083245,34.72059070313811,33.54920233770336,34.74644056950888,33.011246633929986,32.49308830704179,31.67932762243414,32.35205314009662,32.538860103626945,33.214383749656875,33.5316387236344,34.245472837022135,34.01502504173624,34.44156591824986,34.195030877495334,31.81532663316583,35.32838211737294,36.448038334830784,34.99217527386541,33.535730966837924,32.576505429417566
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
